Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Cluster,Price Range
Nissan,Cima,4.1L V8,4130.0,270.0,210.0,8.0,60000.0,Petrol,5,390.0,0,Medium (50k-100k)
Nissan,Leopard J. Ferie,3.0L V6 Turbo,2960.0,255.0,215.0,6.5,45000.0,Petrol,5,340.0,0,Low (<50k)
Nissan,Gloria Gran Turismo,3.0L V6 Turbo,2960.0,255.0,220.0,6.5,50000.0,Petrol,5,340.0,0,Low (<50k)
Nissan,Infiniti Q45*,4.5L V8,4494.0,340.0,240.0,6.2,50000.0,Petrol,5,450.0,0,Low (<50k)
Nissan,Datsun 240Z,2.4L Inline-6,2393.0,151.0,210.0,8.0,45000.0,Petrol,2,198.0,2,Low (<50k)
Nissan,280ZX,2.8L Inline-6,2753.0,145.0,205.0,9.5,35000.0,Petrol,2,210.0,2,Low (<50k)
Nissan,Silvia S13,1.8L Turbo Inline-4,1809.0,175.0,215.0,6.8,20000.0,Petrol,4,230.0,2,Low (<50k)
Nissan,200SX,2.0L Turbo Inline-4,1998.0,200.0,225.0,7.0,25000.0,Petrol,4,260.0,2,Low (<50k)
Nissan,NX Coupe,1.8L Inline-4,1839.0,140.0,200.0,9.0,18000.0,Petrol,4,180.0,2,Low (<50k)
Nissan,NV2500,4.0L V6,3954.0,261.0,160.0,10.0,36000.0,Petrol,2,385.0,2,Low (<50k)
Nissan,NV3500,5.6L V8,5552.0,375.0,170.0,9.0,42000.0,Petrol,2,525.0,0,Low (<50k)
Nissan,NT400 Cabstar,3.0L Inline-4 Diesel,2953.0,150.0,140.0,15.0,35000.0,Diesel,3,350.0,2,Low (<50k)
Porsche,Panamera,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.6,88000.0,Petrol,4,450.0,0,Medium (50k-100k)
Porsche,Panamera 4,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.4,92000.0,Petrol,4,450.0,0,Medium (50k-100k)
Porsche,Panamera 4S,2.9L V6 Twin Turbo,2894.0,440.0,289.0,4.4,105000.0,Petrol,4,550.0,1,High (100k-200k)
Porsche,Panamera Turbo S,4.0L V8 Twin Turbo,3996.0,620.0,315.0,3.1,180000.0,Petrol,4,820.0,1,High (100k-200k)
Porsche,Panamera GTS,4.0L V8 Twin Turbo,3996.0,473.0,300.0,3.9,130000.0,Petrol,4,620.0,1,High (100k-200k)
Porsche,Panamera Platinum Edition,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.4,102000.0,Petrol,4,450.0,0,High (100k-200k)
Porsche,Panamera E-Hybrid,2.9L V6 + Electric Motor,17.9,455.0,280.0,4.4,115000.0,Hybrid (Petrol),4,700.0,1,High (100k-200k)
Porsche,Panamera 4 E-Hybrid Sport Turismo,2.9L V6 + Electric Motor,17.9,455.0,280.0,4.4,120000.0,Hybrid (Petrol),4,700.0,1,High (100k-200k)
Porsche,Panamera Turbo S E-Hybrid,4.0L V8 + Electric Motor,17.9,690.0,315.0,3.2,190000.0,Hybrid (Petrol),4,870.0,1,High (100k-200k)
Porsche,Panamera 4 Executive,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.6,95000.0,Petrol,4,450.0,0,Medium (50k-100k)
Porsche,Cayenne,3.0L V6 Turbo,2995.0,335.0,245.0,5.9,80000.0,Petrol,5,450.0,0,Medium (50k-100k)
Porsche,Cayenne Coupe,3.0L V6 Turbo,2995.0,335.0,245.0,6.0,85000.0,Petrol,5,450.0,0,Medium (50k-100k)
Porsche,Cayenne S,2.9L V6 Twin Turbo,2894.0,434.0,265.0,5.0,95000.0,Petrol,5,550.0,0,Medium (50k-100k)
Porsche,Cayenne Turbo,4.0L V8 Twin Turbo,3996.0,541.0,286.0,4.0,130000.0,Petrol,5,770.0,1,High (100k-200k)
Porsche,Cayenne GTS,4.0L V8 Twin Turbo,3996.0,453.0,270.0,4.5,110000.0,Petrol,5,620.0,1,High (100k-200k)
Porsche,Cayenne Turbo S E-Hybrid,4.0L V8 + Electric Motor,17.9,670.0,295.0,3.6,170000.0,Hybrid (Petrol),5,900.0,1,High (100k-200k)
Porsche,Macan,2.0L I4 Turbo,1984.0,261.0,232.0,6.2,60000.0,Petrol,5,400.0,0,Medium (50k-100k)
Porsche,Macan S,2.9L V6 Twin Turbo,2894.0,375.0,259.0,4.8,75000.0,Petrol,5,520.0,0,Medium (50k-100k)
Porsche,Macan GTS,2.9L V6 Twin Turbo,2894.0,434.0,272.0,4.5,85000.0,Petrol,5,550.0,0,Medium (50k-100k)
Porsche,Macan T,2.0L I4 Turbo,1984.0,261.0,232.0,6.2,65000.0,Petrol,5,400.0,0,Medium (50k-100k)
Porsche,911 Carrera,3.0L Flat-6 Twin Turbo,2981.0,379.0,293.0,4.2,110000.0,Petrol,4,450.0,0,High (100k-200k)
Porsche,911 Carrera S,3.0L Twin-Turbo Flat-6,2981.0,443.0,308.0,3.5,131300.0,Petrol,4,528.0,1,High (100k-200k)
Porsche,911 Carrera 4,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.2,106500.0,Petrol,4,450.0,0,High (100k-200k)
Porsche,911 Carrera 4S,3.0L Twin-Turbo Flat-6,2981.0,443.0,306.0,3.4,113300.0,Petrol,4,528.0,1,High (100k-200k)
Porsche,911 Targa 4,3.0L Twin-Turbo Flat-6,2981.0,379.0,289.0,4.4,121300.0,Petrol,4,450.0,0,High (100k-200k)
Porsche,911 Turbo,3.8L Twin-Turbo Flat-6,3745.0,572.0,320.0,2.7,197200.0,Petrol,4,750.0,1,High (100k-200k)
Porsche,911 Turbo S,3.8L Twin-Turbo Flat-6,3745.0,640.0,330.0,2.6,230400.0,Petrol,4,800.0,1,Luxury (>200k)
Porsche,911 GT3,4.0L Naturally Aspirated Flat-6,3996.0,502.0,318.0,3.4,161100.0,Petrol,2,469.0,1,High (100k-200k)
Porsche,911 GT3 RS,4.0L Naturally Aspirated Flat-6,3996.0,518.0,296.0,3.2,241300.0,Petrol,2,465.0,1,Luxury (>200k)
Porsche,911 Dakar,3.0L Twin-Turbo Flat-6,2981.0,473.0,240.0,3.4,222000.0,Petrol,2,570.0,1,Luxury (>200k)
Porsche,Taycan,Dual Electric Motors,79.2,402.0,230.0,5.4,86700.0,Electric,4,344.0,0,Medium (50k-100k)
Porsche,Taycan 4S,Dual Electric Motors,79.2,522.0,250.0,4.0,103800.0,Electric,4,640.0,1,High (100k-200k)
Porsche,Taycan Turbo,Dual Electric Motors,93.4,670.0,260.0,3.2,150900.0,Electric,4,850.0,1,High (100k-200k)
Porsche,Taycan GTS,Dual Electric Motors,93.4,590.0,250.0,3.5,132750.0,Electric,4,850.0,1,High (100k-200k)
Porsche,Taycan Cross Turismo,Dual Electric Motors,93.4,469.0,220.0,4.8,97700.0,Electric,5,500.0,0,Medium (50k-100k)
Porsche,Taycan Sport Turismo,Dual Electric Motors,79.2,509.0,240.0,4.1,104000.0,Electric,5,650.0,0,High (100k-200k)
Porsche,718 Cayman,2.0L Turbocharged Flat-4,1988.0,300.0,275.0,4.9,63400.0,Petrol,2,380.0,0,Medium (50k-100k)
Porsche,718 Cayman S,2.5L Turbocharged Flat-4,2497.0,350.0,285.0,4.4,75400.0,Petrol,2,420.0,0,Medium (50k-100k)
Porsche,718 Cayman GT4,4.0L Naturally Aspirated Flat-6,3995.0,414.0,302.0,4.2,100200.0,Petrol,2,420.0,0,High (100k-200k)
Porsche,718 Cayman GT4 RS,4.0L Naturally Aspirated Flat-6,3996.0,493.0,315.0,3.2,141700.0,Petrol,2,450.0,1,High (100k-200k)
Porsche,718 Boxster,2.0L Turbo Flat-4,1988.0,300.0,275.0,4.9,65500.0,Petrol,2,380.0,0,Medium (50k-100k)
Porsche,718 Boxster T,2.0L Turbo Flat-4,1988.0,300.0,275.0,4.7,69600.0,Petrol,2,380.0,0,Medium (50k-100k)
Porsche,718 Boxster GTS,4.0L Naturally Aspirated Flat-6,3995.0,394.0,293.0,4.3,90300.0,Petrol,2,430.0,0,Medium (50k-100k)
Porsche,718 Spyder,4.0L Naturally Aspirated Flat-6,3995.0,414.0,301.0,4.1,98300.0,Petrol,2,420.0,0,Medium (50k-100k)
Porsche,Panamera Base,2.9L Twin-Turbo V6,2894.0,325.0,265.0,5.6,92300.0,Petrol,4,450.0,0,Medium (50k-100k)
